participant,device,phase,n,N
3203,CD2B,reunion,2,0.8333333333333334
3209,CD1C,play,2,0.8333333333333334
3209,CD1C,sf,4,4.444444444444445
3209,CD1C,reunion,3,1.25
3209,CD2B,play,7,2.9166666666666665
3209,CD2B,sf,7,7.777777777777778
3209,CD2B,reunion,11,4.583333333333333
3213,CD2B,play,4,1.6666666666666667
3213,CD2B,sf,6,6.666666666666667
3213,CD2B,reunion,7,2.9166666666666665
3215,CD1C,play,7,2.9166666666666665
3215,CD1C,sf,8,8.88888888888889
3215,CD1C,reunion,15,6.25
3215,CD2B,play,8,3.3333333333333335
3215,CD2B,sf,8,8.88888888888889
3215,CD2B,reunion,15,6.25
3218,CD1C,play,7,2.9166666666666665
3218,CD1C,sf,1,1.1111111111111112
3218,CD2B,play,8,3.3333333333333335
3218,CD2B,sf,6,6.666666666666667
3218,CD2B,reunion,13,5.416666666666667
3225,CD2B,play,2,0.8333333333333334
3225,CD2B,sf,2,2.2222222222222223
3225,CD2B,reunion,4,1.6666666666666667
3226,CD1C,play,3,1.25
3226,CD1C,sf,7,7.777777777777778
3226,CD2B,play,4,1.6666666666666667
3226,CD2B,sf,6,6.666666666666667
3226,CD2B,reunion,5,2.083333333333333
3227,CD2B,play,8,3.3333333333333335
3227,CD2B,reunion,14,5.833333333333333
3234,CD1C,play,6,2.5
3234,CD1C,sf,6,6.666666666666667
3234,CD1C,reunion,9,3.75
3234,CD2B,play,4,1.6666666666666667
3234,CD2B,sf,11,12.222222222222221
3234,CD2B,reunion,10,4.166666666666666
3236,CD1C,play,1,0.4166666666666667
3236,CD1C,sf,7,7.777777777777778
3236,CD1C,reunion,5,2.083333333333333
3237,CD1C,play,12,5
3237,CD1C,sf,34,37.77777777777778
3237,CD2B,play,8,3.3333333333333335
3237,CD2B,sf,1,1.1111111111111112
3237,CD2B,reunion,15,6.25
3239,CD2B,play,1,0.4166666666666667
3239,CD2B,reunion,17,7.083333333333333
3246,CD1C,play,1,0.4166666666666667
3246,CD1C,sf,36,40
3246,CD2B,reunion,19,7.916666666666666
3247,CD1C,play,19,7.916666666666666
3247,CD1C,sf,39,43.333333333333336
3247,CD2B,play,7,2.9166666666666665
3247,CD2B,sf,1,1.1111111111111112
3247,CD2B,reunion,16,6.666666666666667
3249,CD1C,play,10,4.166666666666666
3249,CD1C,sf,19,21.11111111111111
3254,CD1C,play,13,5.416666666666667
3254,CD1C,sf,23,25.555555555555554
3254,CD2B,play,12,5
3254,CD2B,sf,1,1.1111111111111112
3254,CD2B,reunion,21,8.75
