participant,device,phase,n,N
3531,CD2B,sf,10,11.11111111111111
3531,CD2B,reunion,7,2.9166666666666665
3533,CD1C,play,12,5
3533,CD1C,sf,7,7.777777777777778
3533,CD1C,reunion,2,0.8333333333333334
3533,CD2B,play,12,5
3533,CD2B,sf,4,4.444444444444445
3533,CD2B,reunion,8,3.3333333333333335
3541,CD1C,play,22,9.166666666666666
3541,CD1C,sf,9,10
3541,CD1C,reunion,15,6.25
3541,CD2B,play,15,6.25
3541,CD2B,sf,12,13.333333333333334
3541,CD2B,reunion,18,7.5
3543,CD1C,play,9,3.75
3543,CD1C,sf,4,4.444444444444445
3543,CD1C,reunion,10,4.166666666666666
3543,CD2B,play,13,5.416666666666667
3543,CD2B,sf,5,5.555555555555555
3543,CD2B,reunion,17,7.083333333333333
3546,CD1C,play,10,4.166666666666666
3546,CD1C,sf,11,12.222222222222221
3546,CD1C,reunion,20,8.333333333333332
3546,CD2B,play,9,3.75
3546,CD2B,sf,6,6.666666666666667
3546,CD2B,reunion,17,7.083333333333333
3547,CD1C,play,10,4.166666666666666
3547,CD1C,sf,3,3.3333333333333335
3547,CD1C,reunion,1,0.4166666666666667
3547,CD2B,play,3,1.25
3547,CD2B,sf,6,6.666666666666667
3547,CD2B,reunion,2,0.8333333333333334
3554,CD1C,play,16,6.666666666666667
3554,CD1C,sf,7,7.777777777777778
3554,CD1C,reunion,6,2.5
3554,CD2B,play,13,5.416666666666667
3554,CD2B,sf,11,12.222222222222221
3554,CD2B,reunion,6,2.5
3558,CD1C,play,4,1.6666666666666667
3558,CD1C,sf,6,6.666666666666667
3558,CD1C,reunion,18,7.5
3558,CD2B,play,4,1.6666666666666667
3558,CD2B,sf,3,3.3333333333333335
3558,CD2B,reunion,15,6.25
3560,CD1C,play,4,1.6666666666666667
3560,CD1C,sf,3,3.3333333333333335
3560,CD1C,reunion,3,1.25
3560,CD2B,play,3,1.25
3560,CD2B,sf,3,3.3333333333333335
3560,CD2B,reunion,3,1.25
3561,CD1C,play,3,1.25
3561,CD1C,sf,2,2.2222222222222223
3561,CD1C,reunion,4,1.6666666666666667
3561,CD2B,play,2,0.8333333333333334
3561,CD2B,sf,1,1.1111111111111112
3564,CD1C,play,25,10.416666666666668
3564,CD1C,sf,5,5.555555555555555
3564,CD1C,reunion,7,2.9166666666666665
3564,CD2B,play,30,12.5
3564,CD2B,sf,3,3.3333333333333335
3564,CD2B,reunion,6,2.5
3565,CD1C,play,4,1.6666666666666667
3565,CD1C,sf,4,4.444444444444445
3565,CD1C,reunion,6,2.5
3566,CD1C,play,8,3.3333333333333335
3566,CD1C,sf,10,11.11111111111111
3566,CD1C,reunion,9,3.75
3566,CD2B,play,12,5
3566,CD2B,sf,9,10
3566,CD2B,reunion,6,2.5
3567,CD1C,play,10,4.166666666666666
3567,CD1C,sf,5,5.555555555555555
3567,CD1C,reunion,14,5.833333333333333
3567,CD2B,play,11,4.583333333333333
3567,CD2B,sf,3,3.3333333333333335
3567,CD2B,reunion,10,4.166666666666666
3568,CD1C,play,11,4.583333333333333
3568,CD1C,sf,1,1.1111111111111112
3568,CD2B,play,2,0.8333333333333334
3568,CD2B,reunion,2,0.8333333333333334
3578,CD1C,play,1,0.4166666666666667
3578,CD1C,sf,9,10
3578,CD1C,reunion,2,0.8333333333333334
3578,CD2B,play,1,0.4166666666666667
3578,CD2B,sf,3,3.3333333333333335
3578,CD2B,reunion,1,0.4166666666666667
3579,CD1C,play,7,2.9166666666666665
3579,CD1C,sf,11,12.222222222222221
3579,CD1C,reunion,10,4.166666666666666
3579,CD2B,play,11,4.583333333333333
3579,CD2B,sf,12,13.333333333333334
3579,CD2B,reunion,18,7.5
3584,CD1C,play,16,6.666666666666667
3584,CD1C,sf,11,12.222222222222221
3584,CD1C,reunion,4,1.6666666666666667
3584,CD2B,play,17,7.083333333333333
3584,CD2B,sf,11,12.222222222222221
3584,CD2B,reunion,4,1.6666666666666667
3593,CD1C,play,6,2.5
3593,CD1C,sf,7,7.777777777777778
3593,CD1C,reunion,2,0.8333333333333334
3593,CD2B,play,3,1.25
3593,CD2B,sf,4,4.444444444444445
3598,CD1C,play,4,1.6666666666666667
3598,CD1C,sf,8,8.88888888888889
3598,CD1C,reunion,3,1.25
3598,CD2B,play,13,5.416666666666667
3598,CD2B,sf,5,5.555555555555555
3598,CD2B,reunion,3,1.25
3603,CD1C,play,14,5.833333333333333
3603,CD1C,sf,17,18.88888888888889
3603,CD1C,reunion,33,13.750000000000002
3603,CD2B,play,11,4.583333333333333
3603,CD2B,sf,13,14.444444444444443
3603,CD2B,reunion,39,16.25
3606,CD1C,play,5,2.083333333333333
3606,CD1C,sf,16,17.77777777777778
3606,CD1C,reunion,15,6.25
3606,CD2B,play,9,3.75
3606,CD2B,sf,15,16.666666666666664
3606,CD2B,reunion,21,8.75
3607,CD1C,play,4,1.6666666666666667
3607,CD1C,sf,10,11.11111111111111
3607,CD1C,reunion,20,8.333333333333332
3607,CD2B,play,12,5
3607,CD2B,sf,9,10
3607,CD2B,reunion,18,7.5
3609,CD2B,play,7,2.9166666666666665
3609,CD2B,sf,5,5.555555555555555
3609,CD2B,reunion,2,0.8333333333333334
3610,CD1C,play,7,2.9166666666666665
3610,CD1C,sf,3,3.3333333333333335
3610,CD1C,reunion,7,2.9166666666666665
3610,CD2B,play,10,4.166666666666666
3610,CD2B,sf,4,4.444444444444445
3610,CD2B,reunion,9,3.75
3614,CD1C,play,7,2.9166666666666665
3614,CD1C,sf,4,4.444444444444445
3614,CD1C,reunion,5,2.083333333333333
3614,CD2B,play,8,3.3333333333333335
3614,CD2B,sf,2,2.2222222222222223
3614,CD2B,reunion,2,0.8333333333333334
3623,CD1C,play,3,1.25
3623,CD1C,sf,9,10
3623,CD1C,reunion,7,2.9166666666666665
3623,CD2B,play,6,2.5
3623,CD2B,sf,14,15.555555555555555
3623,CD2B,reunion,6,2.5
3624,CD1C,play,4,1.6666666666666667
3624,CD1C,sf,4,4.444444444444445
3624,CD1C,reunion,2,0.8333333333333334
3624,CD2B,play,8,3.3333333333333335
3624,CD2B,sf,5,5.555555555555555
3624,CD2B,reunion,8,3.3333333333333335
3631,CD1C,play,7,2.9166666666666665
3631,CD1C,sf,9,10
3631,CD1C,reunion,20,8.333333333333332
3631,CD2B,play,17,7.083333333333333
3631,CD2B,sf,13,14.444444444444443
3631,CD2B,reunion,20,8.333333333333332
3635,CD1C,play,2,0.8333333333333334
3635,CD1C,sf,4,4.444444444444445
3635,CD1C,reunion,5,2.083333333333333
3636,CD1C,play,10,4.166666666666666
3636,CD1C,sf,7,7.777777777777778
3636,CD1C,reunion,19,7.916666666666666
3636,CD2B,play,9,3.75
3636,CD2B,sf,14,15.555555555555555
3636,CD2B,reunion,19,7.916666666666666
3644,CD1C,play,4,1.6666666666666667
3644,CD1C,sf,4,4.444444444444445
3644,CD1C,reunion,12,5
3644,CD2B,play,9,3.75
3644,CD2B,sf,7,7.777777777777778
3644,CD2B,reunion,11,4.583333333333333
3646,CD1C,play,11,4.583333333333333
3646,CD1C,sf,2,2.2222222222222223
3646,CD1C,reunion,1,0.4166666666666667
3646,CD2B,play,10,4.166666666666666
3646,CD2B,sf,3,3.3333333333333335
3646,CD2B,reunion,1,0.4166666666666667
3674,CD1C,play,16,6.666666666666667
3674,CD1C,sf,7,7.777777777777778
3674,CD1C,reunion,25,10.416666666666668
3674,CD2B,play,23,9.583333333333334
3674,CD2B,sf,10,11.11111111111111
3674,CD2B,reunion,22,9.166666666666666
3687,CD1C,play,6,2.5
3687,CD1C,sf,3,3.3333333333333335
3687,CD1C,reunion,5,2.083333333333333
3687,CD2B,play,8,3.3333333333333335
3687,CD2B,sf,6,6.666666666666667
3693,CD2B,play,5,2.083333333333333
3697,CD1C,play,8,3.3333333333333335
3697,CD1C,sf,6,6.666666666666667
3697,CD2B,play,7,2.9166666666666665
3697,CD2B,sf,9,10
3697,CD2B,reunion,17,7.083333333333333
3702,CD1C,play,3,1.25
3702,CD1C,sf,2,2.2222222222222223
3702,CD1C,reunion,1,0.4166666666666667
3702,CD2B,play,1,0.4166666666666667
3702,CD2B,sf,1,1.1111111111111112
3702,CD2B,reunion,2,0.8333333333333334
3703,CD1C,play,9,3.75
3703,CD1C,sf,3,3.3333333333333335
3703,CD1C,reunion,7,2.9166666666666665
3703,CD2B,play,6,2.5
3703,CD2B,sf,2,2.2222222222222223
3703,CD2B,reunion,6,2.5
3713,CD2B,play,13,5.416666666666667
3713,CD2B,sf,11,12.222222222222221
3713,CD2B,reunion,13,5.416666666666667
3718,CD1C,play,6,2.5
3718,CD1C,sf,7,7.777777777777778
3718,CD1C,reunion,8,3.3333333333333335
3720,CD1C,play,3,1.25
3720,CD1C,sf,4,4.444444444444445
3720,CD1C,reunion,18,7.5
3720,CD2B,play,6,2.5
3720,CD2B,sf,6,6.666666666666667
3720,CD2B,reunion,26,10.833333333333334
3728,CD2B,play,1,0.4166666666666667
3728,CD2B,sf,4,4.444444444444445
3728,CD2B,reunion,1,0.4166666666666667
3738,CD1C,play,14,5.833333333333333
3738,CD1C,sf,31,34.44444444444444
3738,CD2B,play,10,4.166666666666666
3738,CD2B,sf,8,8.88888888888889
3738,CD2B,reunion,20,8.333333333333332
3740,CD1C,sf,10,11.11111111111111
3740,CD1C,reunion,9,3.75
3740,CD2B,play,4,1.6666666666666667
3740,CD2B,sf,13,14.444444444444443
3740,CD2B,reunion,6,2.5
3745,CD1C,play,2,0.8333333333333334
3745,CD1C,sf,7,7.777777777777778
3745,CD1C,reunion,10,4.166666666666666
3745,CD2B,play,5,2.083333333333333
3745,CD2B,sf,3,3.3333333333333335
3745,CD2B,reunion,13,5.416666666666667
3746,CD1C,play,5,2.083333333333333
3746,CD1C,sf,6,6.666666666666667
3746,CD1C,reunion,14,5.833333333333333
3746,CD2B,play,2,0.8333333333333334
3746,CD2B,sf,4,4.444444444444445
3746,CD2B,reunion,9,3.75
3749,CD1C,play,2,0.8333333333333334
3749,CD1C,reunion,5,2.083333333333333
3749,CD2B,play,2,0.8333333333333334
3749,CD2B,sf,2,2.2222222222222223
3749,CD2B,reunion,2,0.8333333333333334
3754,CD1C,play,6,2.5
3754,CD1C,sf,6,6.666666666666667
3754,CD1C,reunion,18,7.5
3754,CD2B,play,4,1.6666666666666667
3754,CD2B,sf,4,4.444444444444445
3754,CD2B,reunion,17,7.083333333333333
3757,CD1C,play,8,3.3333333333333335
3757,CD1C,sf,12,13.333333333333334
3757,CD1C,reunion,17,7.083333333333333
3757,CD2B,play,11,4.583333333333333
3757,CD2B,sf,16,17.77777777777778
3757,CD2B,reunion,18,7.5
3761,CD1C,play,10,4.166666666666666
3761,CD1C,sf,6,6.666666666666667
3761,CD1C,reunion,18,7.5
3762,CD1C,play,8,3.3333333333333335
3762,CD1C,sf,3,3.3333333333333335
3762,CD1C,reunion,11,4.583333333333333
3762,CD2B,play,10,4.166666666666666
3762,CD2B,sf,5,5.555555555555555
3762,CD2B,reunion,13,5.416666666666667
3780,CD1C,play,3,1.25
3780,CD1C,sf,1,1.1111111111111112
3780,CD1C,reunion,1,0.4166666666666667
3780,CD2B,play,2,0.8333333333333334
3780,CD2B,sf,3,3.3333333333333335
3780,CD2B,reunion,9,3.75
3781,CD1C,play,11,4.583333333333333
3781,CD1C,sf,6,6.666666666666667
3781,CD1C,reunion,3,1.25
3781,CD2B,play,6,2.5
3781,CD2B,sf,3,3.3333333333333335
3781,CD2B,reunion,4,1.6666666666666667
3784,CD1C,play,2,0.8333333333333334
3784,CD1C,sf,2,2.2222222222222223
3784,CD1C,reunion,4,1.6666666666666667
3788,CD1C,play,14,5.833333333333333
3788,CD1C,sf,16,17.77777777777778
3788,CD1C,reunion,28,11.666666666666666
3794,CD1C,play,1,0.4166666666666667
3794,CD1C,sf,1,1.1111111111111112
3794,CD1C,reunion,13,5.416666666666667
3794,CD2B,play,6,2.5
3794,CD2B,sf,1,1.1111111111111112
3794,CD2B,reunion,6,2.5
3795,CD1C,play,3,1.25
3795,CD1C,sf,3,3.3333333333333335
3795,CD1C,reunion,13,5.416666666666667
3795,CD2B,play,5,2.083333333333333
3795,CD2B,sf,3,3.3333333333333335
3795,CD2B,reunion,23,9.583333333333334
3797,CD1C,play,12,5
3797,CD1C,sf,8,8.88888888888889
3797,CD1C,reunion,3,1.25
3797,CD2B,play,13,5.416666666666667
3797,CD2B,sf,9,10
3797,CD2B,reunion,4,1.6666666666666667
3803,CD1C,play,6,2.5
3803,CD1C,sf,5,5.555555555555555
3803,CD1C,reunion,5,2.083333333333333
3803,CD2B,play,4,1.6666666666666667
3803,CD2B,sf,9,10
3803,CD2B,reunion,10,4.166666666666666
3804,CD1C,play,10,4.166666666666666
3804,CD1C,sf,13,14.444444444444443
3804,CD1C,reunion,22,9.166666666666666
3805,CD1C,play,14,5.833333333333333
3805,CD1C,sf,14,15.555555555555555
3805,CD1C,reunion,24,10
3805,CD2B,play,16,6.666666666666667
3805,CD2B,sf,10,11.11111111111111
3805,CD2B,reunion,23,9.583333333333334
3806,CD1C,play,17,7.083333333333333
3806,CD1C,sf,5,5.555555555555555
3806,CD1C,reunion,14,5.833333333333333
3806,CD2B,play,3,1.25
3806,CD2B,sf,7,7.777777777777778
3806,CD2B,reunion,2,0.8333333333333334
3809,CD1C,play,4,1.6666666666666667
3809,CD1C,sf,1,1.1111111111111112
3809,CD1C,reunion,5,2.083333333333333
3809,CD2B,play,1,0.4166666666666667
3809,CD2B,sf,2,2.2222222222222223
3809,CD2B,reunion,5,2.083333333333333
3812,CD1C,play,3,1.25
3812,CD1C,sf,4,4.444444444444445
3812,CD1C,reunion,7,2.9166666666666665
3812,CD2B,play,2,0.8333333333333334
3812,CD2B,sf,4,4.444444444444445
3812,CD2B,reunion,10,4.166666666666666
3813,CD1C,sf,2,2.2222222222222223
3813,CD1C,reunion,6,2.5
3813,CD2B,sf,2,2.2222222222222223
3813,CD2B,reunion,5,2.083333333333333
3814,CD1C,play,3,1.25
3814,CD1C,sf,4,4.444444444444445
3814,CD1C,reunion,15,6.25
3814,CD2B,sf,1,1.1111111111111112
3814,CD2B,reunion,5,2.083333333333333
3815,CD1C,play,10,4.166666666666666
3815,CD1C,sf,12,13.333333333333334
3815,CD1C,reunion,19,7.916666666666666
3819,CD1C,play,11,4.583333333333333
3819,CD1C,sf,61,67.77777777777779
3819,CD1C,reunion,24,10
3819,CD2B,play,2,0.8333333333333334
3819,CD2B,sf,2,2.2222222222222223
3819,CD2B,reunion,4,1.6666666666666667
3820,CD1C,play,7,2.9166666666666665
3820,CD1C,sf,6,6.666666666666667
3820,CD1C,reunion,12,5
3820,CD2B,play,7,2.9166666666666665
3820,CD2B,sf,6,6.666666666666667
3820,CD2B,reunion,12,5
3822,CD1C,play,11,4.583333333333333
3822,CD1C,sf,9,10
3822,CD1C,reunion,10,4.166666666666666
3824,CD1C,play,10,4.166666666666666
3824,CD1C,sf,10,11.11111111111111
3824,CD1C,reunion,20,8.333333333333332
3829,CD1C,play,7,2.9166666666666665
3829,CD1C,sf,9,10
3829,CD1C,reunion,19,7.916666666666666
3829,CD2B,play,7,2.9166666666666665
3829,CD2B,sf,8,8.88888888888889
3829,CD2B,reunion,21,8.75
3830,CD1C,play,5,2.083333333333333
3830,CD1C,sf,12,13.333333333333334
3830,CD1C,reunion,14,5.833333333333333
3830,CD2B,play,11,4.583333333333333
3830,CD2B,sf,9,10
3830,CD2B,reunion,17,7.083333333333333
3837,CD1C,play,6,2.5
3837,CD1C,sf,12,13.333333333333334
3837,CD1C,reunion,26,10.833333333333334
3837,CD2B,play,5,2.083333333333333
3837,CD2B,sf,8,8.88888888888889
3837,CD2B,reunion,25,10.416666666666668
3838,CD1C,play,4,1.6666666666666667
3838,CD1C,sf,7,7.777777777777778
3838,CD1C,reunion,23,9.583333333333334
3839,CD1C,play,5,2.083333333333333
3839,CD1C,sf,8,8.88888888888889
3839,CD1C,reunion,3,1.25
3839,CD2B,play,4,1.6666666666666667
3839,CD2B,sf,11,12.222222222222221
3839,CD2B,reunion,4,1.6666666666666667
3841,CD1C,play,13,5.416666666666667
3841,CD1C,sf,8,8.88888888888889
3841,CD1C,reunion,16,6.666666666666667
3841,CD2B,play,10,4.166666666666666
3841,CD2B,sf,10,11.11111111111111
3841,CD2B,reunion,23,9.583333333333334
3846,CD1C,play,4,1.6666666666666667
3846,CD1C,sf,10,11.11111111111111
3846,CD1C,reunion,22,9.166666666666666
3846,CD2B,play,5,2.083333333333333
3846,CD2B,sf,6,6.666666666666667
3846,CD2B,reunion,27,11.25
3848,CD1C,play,6,2.5
3848,CD1C,sf,10,11.11111111111111
3848,CD1C,reunion,19,7.916666666666666
3848,CD2B,play,3,1.25
3848,CD2B,sf,7,7.777777777777778
3848,CD2B,reunion,11,4.583333333333333
3851,CD1C,play,5,2.083333333333333
3851,CD1C,sf,8,8.88888888888889
3851,CD1C,reunion,20,8.333333333333332
3851,CD2B,play,1,0.4166666666666667
3851,CD2B,sf,4,4.444444444444445
3851,CD2B,reunion,7,2.9166666666666665
3854,CD1C,play,5,2.083333333333333
3854,CD1C,sf,10,11.11111111111111
3854,CD1C,reunion,23,9.583333333333334
3854,CD2B,play,4,1.6666666666666667
3854,CD2B,sf,6,6.666666666666667
3854,CD2B,reunion,21,8.75
3857,CD1C,play,8,3.3333333333333335
3857,CD1C,sf,6,6.666666666666667
3857,CD1C,reunion,12,5
3859,CD1C,play,6,2.5
3859,CD1C,sf,11,12.222222222222221
3859,CD1C,reunion,21,8.75
3861,CD1C,play,4,1.6666666666666667
3861,CD1C,sf,9,10
3861,CD1C,reunion,24,10
3861,CD2B,play,5,2.083333333333333
3861,CD2B,sf,7,7.777777777777778
3861,CD2B,reunion,8,3.3333333333333335
3863,CD1C,play,7,2.9166666666666665
3863,CD1C,sf,5,5.555555555555555
3863,CD1C,reunion,14,5.833333333333333
3863,CD2B,play,6,2.5
3863,CD2B,sf,1,1.1111111111111112
3863,CD2B,reunion,9,3.75
3865,CD1C,play,11,4.583333333333333
3865,CD1C,sf,6,6.666666666666667
3865,CD1C,reunion,20,8.333333333333332
3866,CD1C,play,2,0.8333333333333334
3866,CD1C,sf,7,7.777777777777778
3866,CD1C,reunion,10,4.166666666666666
3866,CD2B,play,3,1.25
3866,CD2B,sf,5,5.555555555555555
3866,CD2B,reunion,7,2.9166666666666665
3867,CD1C,play,1,0.4166666666666667
3867,CD1C,sf,4,4.444444444444445
3867,CD1C,reunion,11,4.583333333333333
3867,CD2B,play,1,0.4166666666666667
3867,CD2B,reunion,3,1.25
3871,CD1C,play,3,1.25
3871,CD1C,sf,7,7.777777777777778
3871,CD1C,reunion,18,7.5
3872,CD1C,sf,9,10
3872,CD1C,reunion,2,0.8333333333333334
3872,CD2B,play,1,0.4166666666666667
3872,CD2B,sf,2,2.2222222222222223
3872,CD2B,reunion,3,1.25
3875,CD1C,play,3,1.25
3875,CD1C,sf,11,12.222222222222221
3875,CD1C,reunion,15,6.25
3875,CD2B,play,8,3.3333333333333335
3875,CD2B,sf,9,10
3875,CD2B,reunion,19,7.916666666666666
3876,CD1C,play,3,1.25
3876,CD1C,sf,3,3.3333333333333335
3876,CD1C,reunion,15,6.25
3878,CD1C,play,5,2.083333333333333
3878,CD1C,sf,4,4.444444444444445
3878,CD1C,reunion,8,3.3333333333333335
3879,CD1C,play,7,2.9166666666666665
3879,CD1C,sf,7,7.777777777777778
3879,CD1C,reunion,16,6.666666666666667
3879,CD2B,play,3,1.25
3879,CD2B,sf,4,4.444444444444445
3879,CD2B,reunion,8,3.3333333333333335
3886,CD2B,play,6,2.5
3886,CD2B,sf,9,10
3886,CD2B,reunion,14,5.833333333333333
3887,CD1C,play,3,1.25
3887,CD1C,sf,12,13.333333333333334
3887,CD1C,reunion,19,7.916666666666666
3887,CD2B,play,1,0.4166666666666667
3887,CD2B,sf,13,14.444444444444443
3887,CD2B,reunion,22,9.166666666666666
3888,CD1C,play,3,1.25
3888,CD1C,sf,1,1.1111111111111112
3888,CD1C,reunion,7,2.9166666666666665
3888,CD2B,play,2,0.8333333333333334
3888,CD2B,sf,1,1.1111111111111112
3888,CD2B,reunion,9,3.75
